uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)	f1(training_oov)	f1(testing_oov)
bfbe1168-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	0.10000000000000001	73.33	74.94	78.95	79.86
bfbe4408-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	0.001	2.25	2.8	13.59	12.73
bfbd7b36-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	0.001	0.73	0.76	18.8	16.77
bfbe524a-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	0.001	4.75	4.35	19.46	17.76
bfbce590-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	0.10000000000000001	76.3	77.82	81.6	82.37
bfbc4ee6-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	0.001	3.01	2.68	19.6	17.63
bfbcd352-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	4	0.01	56.83	60.56	66.23	68.35
bfbd314e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	4	1.0	79.79	79.86	84.85	84.14
bfbb17d8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	4	0.10000000000000001	71.35	73.36	77.81	79.1
bfbd5f02-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	10	0.001	0.06	0.04	19.38	17.24
bfbcb69c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	0.01	59.51	63.41	68.29	70.79
bfbed9a4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.10000000000000001	30.12	30.88	42.33	42.07
bfbd42e2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	0.001	2.58	2.41	13.68	12.63
bfbbc50c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	1.0	73.38	74.93	79.93	80.9
bfbd661e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	10	0.10000000000000001	73.35	75.08	79.12	80.11
bfbe2748-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	4	0.001	1.24	0.86	16.53	14.52
bfbdb542-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	10	0.001	1.25	0.82	17.64	15.81
bfbe679e-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	0.10000000000000001	32.7	32.87	42.28	41.36
bfbbbd8c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	0.01	4.42	5.4	22.29	21.57
bfbf0460-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	0.10000000000000001	22.87	22.47	33.91	31.83
bfbdd57c-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	4	0.01	40.07	40.98	50.67	49.7
bfbb702a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	4	0.01	58.46	62.4	66.29	69.24
bfbbe6f4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	0.001	1.01	1.31	17.17	15.74
bfbc59a4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	1.0	74.23	75.71	81.21	82.18
bfbcc10a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	0.001	2.58	3.03	16.18	14.93
bfbe0e02-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	0.01	44.98	45.92	55.2	54.9
bfbecefa-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	1.0	38.56	38.75	48.79	47.53
bfbed26a-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.001	1.42	1.6	15.05	13.78
bfbc6480-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	0.10000000000000001	68.71	70.75	75.9	77.22
bfbb834e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	0.10000000000000001	72.39	74.03	79.16	80.59
bfbb5d2e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	0.001	0.86	1.03	14.85	13.58
bfbec0ae-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	1.0	82.05	80.92	86.04	84.93
bfbe14d8-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	1.0	83.49	82.36	87.07	85.9
bfbed5e4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.01	2.16	1.71	21.51	19.88
bfbcfed6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	0.01	28.16	27.96	39.5	37.86
bfbe60be-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	0.001	5.45	5.61	18.55	17.38
bfbeeb92-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	1.0	61.06	56.61	66.87	62.35
bfbb55ae-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.10000000000000001	72.9	74.09	79.35	80.5
bfbee80e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	0.10000000000000001	39.16	38.42	49.09	47.32
bfbde742-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	0.10000000000000001	75.06	75.5	80.62	80.65
bfbbdf92-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	0.10000000000000001	71.15	72.61	77.59	78.88
bfbc8f32-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.10000000000000001	76.76	78.0	81.96	82.65
