uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)
bfbdf552-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	0.10000000000000001	40.71	42.1
bfbcf3e6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	0.10000000000000001	39.96	40.03
bfbb8ec0-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	0.01	49.75	53.45
bfbba9c8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	0.001	30.86	30.21
bfb9c07c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	1	0.01	32.57	34.06
bfbd9ff8-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	0.10000000000000001	27.72	28.2
bfbd69a2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	10	1.0	82.53	82.19
bfbe7950-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	1	1.0	72.91	73.41
bfbddfd6-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	0.001	8.11	6.22
bfba9b32-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	1	1.0	75.28	76.59
bfbc6818-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	1.0	78.65	79.53
bfbb73fe-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	4	0.10000000000000001	70.57	72.29
bfbcc84e-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	0.10000000000000001	67.98	71.0
bfbdd8f6-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	4	0.10000000000000001	71.86	72.99
bfbe4048-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	10	1.0	60.76	56.69
bfbea07e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	0.10000000000000001	9.23	8.2
bfbeae8e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	0.10000000000000001	57.17	58.32
bfbe395e-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	10	0.01	30.07	28.58
bfbeaad8-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	0.01	0.0	0.0
bfbb7b6a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	0.001	35.1	35.87
bfbc46f8-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	0.10000000000000001	58.04	61.2
bfbd49b8-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	0.10000000000000001	43.52	46.16
bfbc295c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	0.10000000000000001	67.03	70.19
bfbc25d8-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	0.01	44.65	48.26
bfbb23b8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	10	0.01	63.18	66.72
bfbd1100-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	10	0.10000000000000001	47.37	47.07
bfbe3cce-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	10	0.10000000000000001	45.56	43.73
bfbe2392-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	1.0	47.93	46.03
bfbb36e6-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	0.10000000000000001	67.16	69.91
bfbd1be6-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	1	0.01	0.12	0.12
